DD DC CD CC
239 253 254 254
216 247 279 258
266 259 197 278
266 228 211 295
297 186 213 304
285 211 200 304
283 190 210 317
311 184 175 330
288 190 194 328
320 151 171 358
331 134 164 371
338 144 130 388
330 146 137 387
326 134 154 386
361 117 131 391
341 126 138 395
353 118 141 388
361 106 126 407
369 123 92 416
352 119 106 423
364 110 115 411
376 91 108 425
387 98 104 411
374 97 95 434
377 99 79 445
386 96 81 437
387 86 88 439
399 77 83 441
399 82 68 451
389 73 84 454
395 68 80 457
400 63 67 470
414 68 60 458
408 62 71 459
412 65 62 461
407 53 58 482
416 55 52 477
416 59 45 480
417 56 67 460
427 49 48 476
425 54 44 477
420 57 47 476
430 49 50 471
415 53 56 476
434 31 41 494
432 38 35 495
423 48 44 485
429 33 49 489
437 41 36 486
429 47 36 488
433 35 39 493
430 38 39 493
434 43 40 483
438 27 30 505
443 22 41 494
437 34 36 493
436 28 31 505
437 26 37 500
440 37 28 495
446 21 31 502
447 26 27 500
439 31 24 506
445 29 26 500
447 32 22 499
439 27 23 511
441 32 21 506
450 19 20 511
445 37 22 496
449 22 31 498
442 20 27 511
449 31 18 502
445 16 29 510
451 24 14 511
452 27 15 506
444 22 26 508
442 29 24 505
450 21 19 510
450 16 29 505
448 16 17 519
447 18 17 518
454 15 18 513
452 14 22 512
453 15 17 515
458 15 17 510
450 18 19 513
454 13 11 522
456 10 18 516
454 19 12 515
453 15 18 514
456 15 10 519
450 18 14 518
457 17 7 519
459 9 10 522
458 14 6 522
451 23 13 513
456 13 13 518
452 15 12 521
460 11 10 519
450 13 17 520
460 14 10 516
456 6 11 527
460 6 12 522
454 11 12 523
457 10 7 526
457 10 10 523
455 13 6 526
460 8 14 518
460 10 10 520
457 11 8 524
459 12 7 522
457 13 7 523
459 6 9 526
459 6 13 522
456 6 14 524
461 9 6 524
460 6 7 527
460 9 6 525
456 9 9 526
457 9 5 529
460 10 7 523
460 7 9 524
466 3 7 524
463 8 3 526
460 3 13 524
457 6 14 523
458 8 9 525
460 8 6 526
461 5 5 529
465 6 4 525
462 5 8 525
464 3 3 530
461 5 5 529
465 6 5 524
465 5 6 524
462 3 6 529
464 7 5 524
464 6 3 527
461 2 9 528
465 5 4 526
463 9 3 525
464 3 5 528
463 6 5 526
464 6 4 526
458 11 3 528
464 1 2 533
461 6 8 525
461 5 9 525
461 5 6 528
464 8 3 525
462 6 5 527
461 8 5 526
467 3 2 528
461 6 6 527
462 5 3 530
461 6 5 528
463 6 3 528
462 3 7 528
461 7 3 529
461 5 5 529
462 5 4 529
465 2 6 527
466 7 1 526
467 3 3 527
463 6 4 527
464 2 5 529
464 6 3 527
465 1 6 528
463 3 5 529
466 4 5 525
465 2 3 530
465 2 3 530
468 3 3 526
467 4 0 529
467 3 4 526
467 4 2 527
467 2 3 528
464 7 5 524
465 5 1 529
462 4 4 530
464 3 2 531
464 3 3 530
466 2 1 531
465 3 3 529
465 3 4 528
467 4 2 527
461 5 6 528
464 1 3 532
465 4 3 528
468 4 2 526
467 1 2 530
466 3 1 530
464 2 3 531
465 2 4 529
467 0 2 531
465 4 3 528
465 4 1 530
464 3 5 528
464 3 1 532
465 0 5 530
466 2 1 531
466 2 2 530
464 2 3 531
467 1 1 531
461 6 3 530
465 1 4 530
467 2 0 531
466 5 0 529
466 2 1 531
466 1 3 530
466 0 1 533
466 2 1 531
465 3 4 528
467 2 0 531
464 2 5 529
463 2 5 530
466 2 1 531
464 0 5 531
467 4 0 529
466 2 4 528
465 1 3 531
467 1 0 532
466 4 0 530
466 1 2 531
466 1 1 532
465 3 2 530
465 0 4 531
465 3 0 532
465 4 1 530
468 0 0 532
466 0 2 532
467 1 1 531
467 3 0 530
466 3 1 530
466 2 1 531
465 1 2 532
465 4 1 530
466 1 3 530
467 1 1 531
466 1 1 532
465 2 1 532
466 2 3 529
466 2 4 528
467 0 1 532
465 2 0 533
466 3 0 531
465 2 2 531
467 1 1 531
467 1 2 530
466 0 2 532
465 2 3 530
468 0 0 532
465 3 2 530
466 2 1 531
466 4 0 530
466 2 2 530
466 2 0 532
467 0 1 532
466 3 0 531
466 1 2 531
466 2 1 531
465 1 1 533
467 1 1 531
466 0 3 531
465 3 1 531
466 0 2 532
465 3 0 532
466 1 2 531
466 1 2 531
466 2 1 531
466 0 2 532
467 0 1 532
466 2 0 532
467 1 1 531
467 0 1 532
466 0 1 533
467 2 1 530
467 0 0 533
466 0 1 533
467 1 1 531
467 0 0 533
465 1 2 532
465 1 4 530
467 1 1 531
466 1 1 532
466 2 0 532
467 0 2 531
466 1 1 532
465 0 2 533
466 2 0 532
466 2 0 532
466 1 2 531
467 0 0 533
467 0 1 532
467 1 1 531
467 0 0 533
466 0 2 532
467 1 0 532
467 1 0 532
466 2 0 532
467 1 1 531
